,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
0,BrCl,1.8278,4.64594705,4.64594705,7.81070100,90.00000000,90.00000000,115.94818905
1,SrC2,1.8008000000000002,3.71078575,3.71078575,3.71078533,85.43448185,85.43448185,85.43449271
2,Cs2Se,1.8026999999999997,5.62415800,9.09580400,10.99891300,90.00000000,90.00000000,90.00000000
3,Cs2Se,1.8141000000000003,9.13635100,5.63018800,12.17363312,63.87454728,90.00000000,90.00000000
4,CsPbBr3,1.8178,8.45961172,8.45961172,8.45961172,120.09771597,120.09771597,89.83083414
5,WS2,1.8091,3.19073066,3.19073066,17.10120100,90.00000000,90.00000000,120.00001371
6,Ca7SiN6,1.8302999999999998,6.17597400,10.81628800,12.99618700,90.00000000,90.00000000,90.00000000
7,Mg30NiSnO32,1.8029000000000002,8.58667600,8.58667600,8.60606200,90.00000000,90.00000000,90.00000000
8,Mg30ZnSnO32,1.8258999999999999,8.60346400,8.60346400,8.60749100,90.00000000,90.00000000,90.00000000
9,Mg30ZnSiO32,1.8319999999999999,8.55402800,8.55402800,8.55631700,90.00000000,90.00000000,90.00000000
10,Mg30AlCO32,1.8294999999999995,8.46177900,8.46177900,8.60049300,90.00000000,90.00000000,90.00000000
11,Mg30AlNiO32,1.8232,8.47327300,8.47327300,8.55635800,90.00000000,90.00000000,90.00000000
12,Mg30BCO32,1.8067999999999995,8.54207800,8.54207800,8.44252600,90.00000000,90.00000000,90.00000000
13,KMg30SbO32,1.8357999999999999,8.63699200,8.63699200,8.69195700,90.00000000,90.00000000,90.00000000
14,Sr2LiReN4,1.8074,5.91009100,6.20549300,6.94102099,73.64337155,90.00000000,90.00000000
15,Sm3AuO6,1.8294000000000001,3.74591200,5.67705800,7.17281835,90.59167503,102.67001737,91.12226833
16,BrCl,1.8328,4.74663166,4.74663166,7.82112300,90.00000000,90.00000000,116.00747421
17,Ba2UZnO6,1.8085999999999998,6.01044724,6.01044724,6.01044724,60.00000000,60.00000000,60.00000000
18,Cs2TcF6,1.8152,6.36123019,6.36123019,5.15748600,90.00000000,90.00000000,120.00000199
19,CaFeO2,1.8241999999999998,5.56427000,5.56425200,6.90401300,90.00007239,90.00010958,90.00074139
20,KMnO2,1.8288000000000002,7.02351179,7.02351179,7.02351179,125.65595454,125.65595454,80.45434134
21,SrTa2O7,1.8358999999999999,3.98256300,3.98256300,9.25093600,90.00000000,90.00000000,90.00000000
22,Li2CuAg,1.8352000000000004,10.19233278,10.19233278,10.19233278,121.36361239,119.48716696,89.27254996
23,CsMg6BO7,1.8305000000000002,4.93148600,4.93148600,8.23424600,90.00000000,90.00000000,90.00000000
24,LiFeP2O7,1.8224999999999998,8.24163800,7.18218900,9.71731551,68.99068040,90.00000000,90.00000000
25,ScAuO2,1.8236000000000003,3.26874011,3.26874011,12.30613700,90.00000000,90.00000000,120.00000213
26,SbSBr,1.8290000000000002,4.01409500,8.78100000,10.22093000,90.00000000,90.00000000,90.00000000
27,Sr(GaSe2)2,1.8012,6.37339106,6.37339106,11.19242200,90.00000000,90.00000000,120.35292795
28,SbN2F5,1.8112,8.35535022,8.35535022,6.85887600,90.00000000,90.00000000,133.86339105
29,ScMnO3,1.8067999999999995,5.11673391,5.42253500,7.90438429,89.99940596,94.15850618,90.00043305
30,CdCl2O,1.8019,4.21322600,7.60407000,12.20181800,90.00000000,90.00000000,90.00000000
31,Na2LuCuCl6,1.8198,7.17634046,7.17634046,7.17634046,60.00000000,60.00000000,60.00000000
32,Li2ScCuCl6,1.8184,7.00508344,7.00508344,7.00508344,60.00000000,60.00000000,60.00000000
33,Na2AgSbF6,1.8237,6.46481426,6.46481426,6.46481426,60.00000000,60.00000000,60.00000000
34,K2LiRhF6,1.8347,5.80047047,5.80047047,5.80047047,60.00000000,60.00000000,60.00000000
35,Rb2YCuI6,1.8315000000000001,8.37200428,8.37200428,8.37200428,60.00000000,60.00000000,60.00000000
36,CsInCl3,1.8017,7.89798111,7.89798111,7.89798111,60.00000000,60.00000000,60.00000000
37,Rb2Se,1.8176999999999999,5.74327543,5.74327543,5.74327543,60.00000000,60.00000000,60.00000000
38,Al4Co13Si2(SbO14)2,1.8201999999999998,11.61202499,11.61202499,8.94328852,87.42624402,87.42624402,152.51888127
39,Na3Sr4La3Ti10O30,1.8204000000000002,5.55363734,27.76353330,7.88908001,44.73403392,135.25627216,120.30197052
40,Li9Mn2Co5O16,1.8096999999999999,5.08366600,5.89114957,10.09419816,88.84453635,99.76659611,107.65282792
41,Na2Sb4O11,1.8242,10.62051619,10.62051619,7.28032889,84.83384052,84.83384052,42.17221134
42,LiFe4(BO3)4,1.8278000000000003,5.23909000,9.19429110,10.12721086,89.19811944,89.66104513,88.79150875
43,Li5Mg11(WO4)12,1.8032000000000004,10.59218900,5.24610500,18.06000383,89.92176873,90.00000000,90.00000000
44,Li4V2Si(PO6)2,1.8305999999999996,15.57615245,9.01897702,8.48787452,122.15065588,72.42791135,89.95888245
45,Li3Fe8(BO3)8,1.8035999999999999,5.28912900,9.05424339,11.45152716,112.96378530,102.93079009,89.81462554
46,Li2VFeP2(HO5)2,1.8127000000000004,6.94886900,7.52793164,7.87220286,117.39529514,92.03176794,90.87291184
47,Li2VFe(P2O7)2,1.8186,9.58643296,9.58688206,7.15268492,79.29095947,79.30527161,118.76781987
48,Li2Ti3MnO8,1.811,6.03479405,17.04561675,6.01481461,89.99949572,89.99994713,89.69008858
49,Li2FePCO7,1.8343,6.47416000,8.31782852,10.18718965,95.25178037,90.14090565,90.63418519
50,Li2MnPCO7,1.8180999999999998,5.02914800,8.42840826,13.06263465,90.30566135,90.02648847,94.19336493
51,Li2Cr2(SO4)3,1.8049,8.84439485,8.87109867,24.60548084,90.00000000,90.00000000,90.00000000
52,Li15Fe15SiO32,1.8175000000000001,6.68666200,10.63040419,10.67797151,90.45933706,90.07889327,90.11705581
53,Ge2N2O,1.8275000000000001,8.39755400,5.33911500,5.89882103,64.63557026,90.00000000,90.00000000
54,Fe10OF19,1.8228,4.79219100,8.16531676,10.13370298,73.08878989,89.47798319,89.68074026
55,Cs6Br4O,1.8137999999999999,10.03981362,10.03981362,10.03981407,88.85032359,88.85032359,88.85032359
56,Cs2CeO3,1.8128,14.61778800,6.89643300,7.48297832,62.64551859,90.00000000,90.00000000
57,AlRhO3,1.8110999999999997,3.15143991,3.15143991,11.88515500,90.00000000,90.00000000,119.99999821
58,Yb2Te5O13,1.8287999999999998,7.18670700,9.01022300,10.44781036,85.27765574,88.08474612,78.53843027
59,SrCo2(AsO4)2,1.8352,5.87176300,7.12055790,9.26727264,106.43575264,108.42643829,97.70301738
60,SrUO4,1.8258999999999999,6.77945728,6.77945728,6.77945787,33.51408289,33.51408289,33.51408121
61,CsSbPO4F3,1.8296000000000001,5.74839800,10.25145400,12.88647554,69.61822978,90.00000000,90.00000000
62,IF7,1.8034,5.19826159,5.19826159,9.49071000,90.00000000,90.00000000,105.89507265
63,NdInO3,1.811,4.15585400,4.15585400,4.15585400,90.00000000,90.00000000,90.00000000
64,TaAgO3,1.8015,3.99937000,3.99937000,3.99937000,90.00000000,90.00000000,90.00000000
65,Tl2Hg3S4,1.8277999999999999,6.94914804,6.94914804,13.65254408,68.33676129,68.33676129,58.24740196
66,SmScS3,1.8363,6.46869800,7.12501700,9.57211800,90.00000000,90.00000000,90.00000000
67,KBaSbSe3,1.8064,9.38980000,9.57064600,9.57976468,71.72552902,90.00000000,90.00000000
68,BaFe2(P2O7)2,1.8235999999999999,7.58652637,9.15661138,9.63660150,64.62491659,100.88482230,100.80971897
69,Ce7ZrO16,1.8218000000000005,7.67971400,7.67971400,5.42610900,90.00000000,90.00000000,90.00000000
70,Lu2PbSe4,1.8331000000000004,4.06911200,12.61166900,14.74890200,90.00000000,90.00000000,90.00000000
71,BaFeBP2O9,1.8004,5.35472200,8.17355996,8.23622242,88.53394226,87.70107475,80.02128785
72,BiW2(Cl4O)2,1.8132,7.75882000,8.70506450,10.89178230,92.19838211,100.39717486,92.09300635
73,Sr(TbS2)2,1.8128000000000002,4.01790500,12.11005200,14.44611800,90.00000000,90.00000000,90.00000000
74,CsNa3U4(MoO10)2,1.8303999999999998,6.73002100,6.92751735,11.58945659,84.02322923,77.12970132,81.13631301
75,Sr(TmS2)2,1.8201999999999998,3.94442300,12.01022100,14.19870800,90.00000000,90.00000000,90.00000000
76,Sr(HoS2)2,1.8181000000000003,3.97721600,12.04746600,14.31585200,90.00000000,90.00000000,90.00000000
77,H6PbCI3N,1.8179,8.65008300,8.99139100,13.12265400,90.00000000,90.00000000,90.00000000
78,Ag3B5O9,1.8009,6.82145500,9.54878200,11.15106100,90.00000000,90.00000000,90.00000000
79,K6U5As2O23,1.8113000000000001,24.88358300,7.10661600,7.20729430,81.45181670,90.00000000,90.00000000
80,PrTl(PSe3)2,1.8202000000000003,7.83290400,12.04215500,12.53643400,70.55859086,90.00000000,90.00000000
81,SbXeF11,1.8279999999999998,5.98867200,8.48737700,17.23927200,90.00000000,90.00000000,90.00000000
82,Cs2Sn3(SbS5)2,1.8108,13.79491100,7.19443700,12.30087709,59.24707002,90.00000000,90.00000000
83,Al2Sb5(Se2Br3)3,1.8018999999999998,9.77984935,23.98276264,27.73227876,102.41539643,90.00000000,90.00000000
84,KS3,1.8027,12.11449400,6.59335700,12.40361224,72.70660700,90.00000000,90.00000000
85,C(NO)2,1.8228000000000002,6.91251200,7.27153600,12.64913600,90.00000000,90.00000000,90.00000000
86,USiPbO6,1.8266999999999998,6.93079800,6.72443400,13.38840599,76.75095795,90.00000000,90.00000000
87,Pr3Fe5O12,1.8327,11.09762018,11.09762018,11.09762018,109.47122063,109.47122063,109.47122063
88,GaN2OF5,1.8228000000000002,6.78544600,8.40505500,9.40728800,90.00000000,90.00000000,90.00000000
89,CuAs7PS7Br,1.8224999999999998,13.72364400,9.81192300,14.16895240,83.45534673,90.00000000,90.00000000
90,Hg3(SCl)2,1.8038,18.47595446,18.47595446,18.47595446,90.00000000,90.00000000,90.00000000
91,Li3As7(H3N)13,1.8092,9.97534885,13.17335914,23.18452701,90.00000000,90.00000000,90.00000000
92,Co2SnC8SeO8,1.81,15.56742253,12.83966206,12.64485179,75.29881504,52.91829418,51.78289077
93,U2H12C2Se3(N3O8)2,1.8317,9.88121800,10.30508700,10.31388891,89.70478393,90.00000000,90.00000000
94,RbAuC4S4(OF)12,1.8291,21.92170000,9.62812500,14.76235318,49.51438423,90.00000000,90.00000000
95,Sr15Ti23O61,1.8133,5.64097175,23.40658862,30.11133810,90.00000000,90.53545969,90.00000000
96,Sr2Mn2SeO4,1.8317999999999999,6.35441600,9.66541600,10.44861800,90.00000000,90.00000000,90.00000000
97,Nd3Fe5O12,1.8330999999999995,11.06899978,11.06899978,11.06899978,109.47122063,109.47122063,109.47122063
98,Pr4As2S9,1.8339999999999996,7.07638700,7.14005500,29.49246200,90.00000000,90.00000000,90.00000000
99,Ba6Zr(Zn3S7)2,1.8259000000000003,12.72245978,12.72245978,12.72245978,98.75131606,98.75131606,134.08364843
100,Sr5Ti7O19,1.8352,3.83557400,5.61462200,32.32718700,90.00000000,90.00000000,90.00000000
101,AgIO3,1.8222999999999998,5.91228300,6.29886900,17.39620200,90.00000000,90.00000000,90.00000000
102,HgWO4,1.8012,7.45255700,6.82137600,14.23735303,62.39953776,90.00000000,90.00000000
103,NiP2H26C8S4(NO)2,1.8349999999999997,10.43517948,13.81536008,15.01705520,90.00000000,100.64293898,90.00000000
104,TiSi3H30C10(N2Cl)2,1.807,9.90931600,10.41884647,12.88444107,90.11868805,94.71217714,108.37431114
105,NaNbO3,1.8049,7.92643000,7.96962400,23.70330800,90.00000000,90.00000000,90.00000000
106,Ba2GaSbSe5,1.8066999999999998,9.27160300,9.45881500,12.80890900,90.00000000,90.00000000,90.00000000
107,CuAs7PS7Cl,1.8362,13.71316800,9.69432100,14.06342485,83.78025031,90.00000000,90.00000000
108,Cs5Na(W2N5)2,1.8355,11.02153945,11.02153945,11.02153945,99.50089813,99.50089813,132.05733058
