,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
2236,TiO2,1.9758,3.82734912,3.82734912,5.47203911,70.10663939,70.10663939,90.01314714
3739,TiO2,2.0625,5.56641437,5.56641437,5.56641437,140.0541251,140.0541251,57.77112661
4065,TiO2,2.1067,4.843832,4.995856,9.44241,90.0,90.0,90.0
4460,TiO2,2.084,4.610237,5.56601,14.967583,90.0,90.0,90.0
5922,TiO2,2.2272000000000003,7.28678543,7.28678543,4.78941953,88.10890871,88.10890871,23.61396343
6165,TiO2,2.2485,10.41933835,9.86497099,10.43780698,90.22539413,89.68104552,94.00703299
6241,TiO2,2.2317,4.91444,4.854602,5.09281305,79.88265217,90.0,90.0
6678,TiO2,2.2882,5.181075,5.511824,9.273935,90.0,90.0,90.0
6873,TiO2,2.2943,2.980932,4.80245,18.707623,90.0,90.0,90.0
7396,TiO2,2.3304,5.94706716,5.94706716,9.068326,90.0,90.0,119.99999069
7642,TiO2,2.3578,10.26961624,10.5803941,10.56895485,90.47826724,89.63335264,88.99971096
8157,TiO2,2.4119,10.36447698,10.63076341,10.32659754,93.99498655,88.82900072,91.78792411
8579,TiO2,2.4487999999999994,2.981827,10.795515,17.738497,90.0,90.0,90.0
8901,TiO2,2.4304999999999994,2.988604,9.002011,10.777908,90.0,90.0,90.0
9200,TiO2,2.4633,5.16855488,5.16855488,5.16855498,33.70824839,33.70824839,33.708246
9480,TiO2,2.4625,5.89469779,5.89469779,5.89469814,61.42898102,61.42898102,61.42898117
9981,TiO2,2.499,2.982063,4.969016,9.556465,90.0,90.0,90.0
10149,TiO2,2.5686,10.59112424,10.78473697,10.48617575,89.96794575,83.83199623,83.35628195
10160,TiO2,2.5534000000000003,4.585388,4.935035,5.581171,90.0,90.0,90.0
10487,TiO2,2.5326,5.01793404,5.01793404,10.235223,90.0,90.0,145.83292154
10488,TiO2,2.5325,7.44756092,7.44756092,7.44756092,92.29990129,92.29990129,156.88808051
10489,TiO2,2.5433000000000003,5.184534,5.987927,10.675797,90.0,90.0,90.0
10988,TiO2,2.5994,7.19244726,7.19244726,7.19244708,24.03156003,24.03156003,24.03155317
11767,TiO2,2.6944,6.43536802,6.43536802,6.61621224,73.81781556,73.81781556,34.03628273
12827,TiO2,2.7867,3.132702,5.744685,10.517169,90.0,90.0,90.0
12982,TiO2,2.7654,3.016806,9.596446,11.047821,90.0,90.0,90.0
13318,TiO2,2.8374,6.56688745,6.56688745,10.463535,90.0,90.0,122.95404543
15350,TiO2,2.9886,3.65469,5.597125,8.773047,90.0,90.0,90.0
